date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:17	14537/14537	---MCZ	200	added ('OK')	text/css	etag:W/%225702aea24fbce7b8f65a884342f459a6%22	https://d1di2lzuh97fh2.cloudfront.net/files/1i/1ib/1ibizu.css?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/d1di2lzuh97fh2.cloudfront.net/files/1i/1ib/1ibizu5b27.css	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:17	30106/30106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f7e017d8e028439540be1f8e7d0311d3-1%22	https://d1di2lzuh97fh2.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	C:/My%20Web%20Sites/Velas/d1di2lzuh97fh2.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:17	94333/94333	---MCZ	200	added ('OK')	text/css	etag:W/%221615d5e0c3b94ef87c42cd22f9286181%22	https://d1di2lzuh97fh2.cloudfront.net/files/0d/0ds/0dscwu.css?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/d1di2lzuh97fh2.cloudfront.net/files/0d/0ds/0dscwu5b27.css	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:17	12047/12047	---M--	200	added ('OK')	image/png	etag:%225dacd004927da04b74e271b176c3dee0%22	https://d1di2lzuh97fh2.cloudfront.net/files/1m/1mh/1mhb7k.png?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/d1di2lzuh97fh2.cloudfront.net/files/1m/1mh/1mhb7k5b27.png	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:18	64612/64612	---M--	200	added ('OK')	image/jpeg	etag:%225444aa49229125302c2864e473a02e09%22	https://bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000000-5ee195ee1c/vecteezy_abstract-pink-background_1905563.jpeg?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000000-5ee195ee1c/vecteezy_abstract-pink-background_19055635b27.jpg	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:18	72931/72931	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Oct%202023%2015:13:20%20GMT	https://velas-artesanales-emprendedoras9.webnode.es/	C:/My%20Web%20Sites/Velas/velas-artesanales-emprendedoras9.webnode.es/index.html	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:18	20355/20355	---M--	200	added ('OK')	image/png	etag:%224bc1802cd113e175e5af9520713db283%22	https://bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000004-efa9befa9f/opera_YzobHpWzUu.png?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000004-efa9befa9f/opera_YzobHpWzUu5b27.png	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:18	509012/509012	---M--	200	added ('OK')	image/png	etag:%22b9198532abea8f338880505b3be332e4%22	https://bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000029-6fc416fc45/COMPRAR_AHORA.png?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000029-6fc416fc45/COMPRAR_AHORA5b27.png	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:19	191736/191736	---M--	200	added ('OK')	image/png	etag:%226e0c79c6e73d90edc06940415aa21e7f%22	https://bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000006-9f45e9f460/opera_qdYNHJNdkw.png?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000006-9f45e9f460/opera_qdYNHJNdkw5b27.png	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:19	517095/517095	---M--	200	added ('OK')	image/png	etag:%22968e40053ee6f87e5fddeacabdf97ff2%22	https://bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000008-4b2914b293/Discord_f6ENSsJEhb.png?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000008-4b2914b293/Discord_f6ENSsJEhb5b27.png	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:19	240232/240232	---M--	200	added ('OK')	image/png	etag:%223a3252a6cea0c1ec3c8ba2a9665eee30%22	https://bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000020-460b2460b5/image-8.png?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000020-460b2460b5/image-85b27.png	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:19	167530/167530	---M--	200	added ('OK')	image/png	etag:%22a91b53d21e785032a2344804f6ce6405%22	https://bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000018-9bddf9bde1/image-2.png?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000018-9bddf9bde1/image-25b27.png	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:19	201255/201255	---M--	200	added ('OK')	image/png	etag:%223f19ca241c87d27bad4d58e26116f1b6%22	https://bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000016-3a9fd3aa01/image.png?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/bba00f7d29.cbaul-cdnwnd.com/0981c9d3830214b977c14fd34a211ef6/200000016-3a9fd3aa01/image5b27.png	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:20	573653/573653	---MCZ	200	added ('OK')	application/javascript	etag:W/%229bf0fe295acea812cf33c2a3c24ea04b%22	https://d1di2lzuh97fh2.cloudfront.net/files/2p/2pc/2pcq1u.js?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/d1di2lzuh97fh2.cloudfront.net/files/2p/2pc/2pcq1u5b27.js	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:20	1282/1282	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252d658c022483775278a05fa09274b06-1%22	https://d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/lang.es.1244.js?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/lang.es.12445b27.js	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:20	182644/182644	---MCZ	200	added ('OK')	application/javascript	etag:W/%228da7405001a5da7f56d013700e74b63b-1%22	https://d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/compiled.multi.2-1597.js?ph=bba00f7d29	C:/My%20Web%20Sites/Velas/d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/compiled.multi.2-15975b27.js	(from https://velas-artesanales-emprendedoras9.webnode.es/?_ga=2.113466177.757153377.1696448357-1206934147.1696447031&_gl=1*10jkd9n*_ga*MTIwNjkzNDE0Ny4xNjk2NDQ3MDMx*_ga_YSX1HV0KT8*MTY5NjYyNDU5OS44LjEuMTY5NjYyNDYwMi41Ny4wLjA)
17:13:21	31746/31746	---M--	200	added ('OK')	image/png	etag:%22d634601234cf6398df3a16238b257112%22	https://d1di2lzuh97fh2.cloudfront.net/files/3p/3pq/3pq60x.png	C:/My%20Web%20Sites/Velas/d1di2lzuh97fh2.cloudfront.net/files/3p/3pq/3pq60x.png	(from https://d1di2lzuh97fh2.cloudfront.net/files/13/13c/13clcn.css?ph=bba00f7d29)
